10	0.215903422	0.206931303	0.164775551	0.137453966
20	0.290930859	0.232216962	0.178032432	0.148381978
30	0.324673594	0.241238713	0.186153033	0.152412525
40	0.340072694	0.246425529	0.188764802	0.157059539
50	0.347287855	0.247848937	0.191103863	0.157791494
60	0.35129805	0.249834977	0.193130566	0.159247188
70	0.354247301	0.247784869	0.193005654	0.155967977
80	0.355876961	0.249829436	0.192195211	0.156109998
90	0.359543695	0.249269597	0.193899483	0.15817127
100	0.361886331	0.250373506	0.194824823	0.158290998
110	0.363923406	0.251121915	0.193048423	0.158192709
120	0.364534528	0.25177703	0.194144909	0.159016933
