Time	Node	Type	Packets	
1	0	CacheHits	13
1	0	CacheMisses	22
1	0	size	23
1	1	CacheHits	16
1	1	CacheMisses	38
1	1	size	38
1	2	CacheHits	15
1	2	CacheMisses	20
1	2	size	20
1	3	CacheHits	16
1	3	CacheMisses	40
1	3	size	41
1	4	CacheHits	11
1	4	CacheMisses	24
1	4	size	25
1	5	CacheHits	12
1	5	CacheMisses	23
1	5	size	24
1	6	CacheHits	23
1	6	CacheMisses	66
1	6	size	67
1	7	CacheHits	34
1	7	CacheMisses	79
1	7	size	80
1	8	CacheHits	24
1	8	CacheMisses	70
1	8	size	70
1	9	CacheHits	10
1	9	CacheMisses	25
1	9	size	26
1	10	CacheHits	11
1	10	CacheMisses	24
1	10	size	24
1	11	CacheHits	22
1	11	CacheMisses	65
1	11	size	66
1	12	CacheHits	94
1	12	CacheMisses	273
1	12	size	100
1	13	CacheHits	42
1	13	CacheMisses	136
1	13	size	100
1	14	CacheHits	9
1	14	CacheMisses	26
1	14	size	26
1	15	CacheHits	15
1	15	CacheMisses	20
1	15	size	20
1	16	CacheHits	15
1	16	CacheMisses	36
1	16	size	37
1	17	CacheHits	16
1	17	CacheMisses	66
1	17	size	66
1	18	CacheHits	26
1	18	CacheMisses	60
1	18	size	61
1	19	CacheHits	13
1	19	CacheMisses	22
1	19	size	22
1	20	CacheHits	6
1	20	CacheMisses	29
1	20	size	29
1	21	CacheHits	20
1	21	CacheMisses	40
1	21	size	41
1	22	CacheHits	22
1	22	CacheMisses	50
1	22	size	51
1	23	CacheHits	18
1	23	CacheMisses	40
1	23	size	40
1	24	CacheHits	8
1	24	CacheMisses	27
1	24	size	27
2	0	CacheHits	16
2	0	CacheMisses	14
2	0	size	36
2	1	CacheHits	18
2	1	CacheMisses	25
2	1	size	63
2	2	CacheHits	16
2	2	CacheMisses	14
2	2	size	35
2	3	CacheHits	21
2	3	CacheMisses	21
2	3	size	62
2	4	CacheHits	17
2	4	CacheMisses	13
2	4	size	37
2	5	CacheHits	15
2	5	CacheMisses	15
2	5	size	39
2	6	CacheHits	33
2	6	CacheMisses	37
2	6	size	100
2	7	CacheHits	29
2	7	CacheMisses	52
2	7	size	100
2	8	CacheHits	25
2	8	CacheMisses	41
2	8	size	100
2	9	CacheHits	14
2	9	CacheMisses	16
2	9	size	42
2	10	CacheHits	17
2	10	CacheMisses	13
2	10	size	37
2	11	CacheHits	37
2	11	CacheMisses	40
2	11	size	100
2	12	CacheHits	41
2	12	CacheMisses	218
2	12	size	100
2	13	CacheHits	35
2	13	CacheMisses	93
2	13	size	100
2	14	CacheHits	14
2	14	CacheMisses	16
2	14	size	42
2	15	CacheHits	12
2	15	CacheMisses	18
2	15	size	38
2	16	CacheHits	14
2	16	CacheMisses	34
2	16	size	71
2	17	CacheHits	20
2	17	CacheMisses	45
2	17	size	100
2	18	CacheHits	30
2	18	CacheMisses	41
2	18	size	100
2	19	CacheHits	15
2	19	CacheMisses	15
2	19	size	37
2	20	CacheHits	16
2	20	CacheMisses	14
2	20	size	43
2	21	CacheHits	19
2	21	CacheMisses	25
2	21	size	66
2	22	CacheHits	19
2	22	CacheMisses	36
2	22	size	86
2	23	CacheHits	17
2	23	CacheMisses	26
2	23	size	66
2	24	CacheHits	17
2	24	CacheMisses	13
2	24	size	40
3	0	CacheHits	14
3	0	CacheMisses	16
3	0	size	52
3	1	CacheHits	25
3	1	CacheMisses	21
3	1	size	85
3	2	CacheHits	17
3	2	CacheMisses	13
3	2	size	48
3	3	CacheHits	20
3	3	CacheMisses	18
3	3	size	80
3	4	CacheHits	23
3	4	CacheMisses	7
3	4	size	45
3	5	CacheHits	20
3	5	CacheMisses	10
3	5	size	49
3	6	CacheHits	26
3	6	CacheMisses	36
3	6	size	100
3	7	CacheHits	25
3	7	CacheMisses	55
3	7	size	100
3	8	CacheHits	26
3	8	CacheMisses	37
3	8	size	100
3	9	CacheHits	15
3	9	CacheMisses	15
3	9	size	57
3	10	CacheHits	16
3	10	CacheMisses	14
3	10	size	51
3	11	CacheHits	27
3	11	CacheMisses	37
3	11	size	100
3	12	CacheHits	45
3	12	CacheMisses	223
3	12	size	100
3	13	CacheHits	27
3	13	CacheMisses	103
3	13	size	100
3	14	CacheHits	17
3	14	CacheMisses	13
3	14	size	56
3	15	CacheHits	19
3	15	CacheMisses	11
3	15	size	50
3	16	CacheHits	21
3	16	CacheMisses	21
3	16	size	91
3	17	CacheHits	19
3	17	CacheMisses	43
3	17	size	100
3	18	CacheHits	22
3	18	CacheMisses	48
3	18	size	100
3	19	CacheHits	22
3	19	CacheMisses	8
3	19	size	46
3	20	CacheHits	13
3	20	CacheMisses	17
3	20	size	60
3	21	CacheHits	21
3	21	CacheMisses	26
3	21	size	91
3	22	CacheHits	24
3	22	CacheMisses	31
3	22	size	100
3	23	CacheHits	16
3	23	CacheMisses	31
3	23	size	97
3	24	CacheHits	14
3	24	CacheMisses	16
3	24	size	57
4	0	CacheHits	17
4	0	CacheMisses	13
4	0	size	66
4	1	CacheHits	22
4	1	CacheMisses	22
4	1	size	100
4	2	CacheHits	20
4	2	CacheMisses	10
4	2	size	57
4	3	CacheHits	25
4	3	CacheMisses	16
4	3	size	96
4	4	CacheHits	19
4	4	CacheMisses	11
4	4	size	56
4	5	CacheHits	17
4	5	CacheMisses	13
4	5	size	62
4	6	CacheHits	25
4	6	CacheMisses	40
4	6	size	100
4	7	CacheHits	22
4	7	CacheMisses	57
4	7	size	100
4	8	CacheHits	23
4	8	CacheMisses	32
4	8	size	100
4	9	CacheHits	21
4	9	CacheMisses	9
4	9	size	66
4	10	CacheHits	16
4	10	CacheMisses	14
4	10	size	65
4	11	CacheHits	27
4	11	CacheMisses	41
4	11	size	100
4	12	CacheHits	43
4	12	CacheMisses	212
4	12	size	100
4	13	CacheHits	23
4	13	CacheMisses	86
4	13	size	100
4	14	CacheHits	14
4	14	CacheMisses	16
4	14	size	71
4	15	CacheHits	16
4	15	CacheMisses	14
4	15	size	64
4	16	CacheHits	21
4	16	CacheMisses	23
4	16	size	100
4	17	CacheHits	21
4	17	CacheMisses	39
4	17	size	100
4	18	CacheHits	26
4	18	CacheMisses	32
4	18	size	100
4	19	CacheHits	21
4	19	CacheMisses	9
4	19	size	54
4	20	CacheHits	19
4	20	CacheMisses	11
4	20	size	71
4	21	CacheHits	21
4	21	CacheMisses	20
4	21	size	100
4	22	CacheHits	21
4	22	CacheMisses	30
4	22	size	100
4	23	CacheHits	22
4	23	CacheMisses	19
4	23	size	100
4	24	CacheHits	19
4	24	CacheMisses	11
4	24	size	68
5	0	CacheHits	19
5	0	CacheMisses	11
5	0	size	77
5	1	CacheHits	17
5	1	CacheMisses	24
5	1	size	100
5	2	CacheHits	19
5	2	CacheMisses	11
5	2	size	69
5	3	CacheHits	16
5	3	CacheMisses	25
5	3	size	100
5	4	CacheHits	18
5	4	CacheMisses	12
5	4	size	67
5	5	CacheHits	18
5	5	CacheMisses	12
5	5	size	74
5	6	CacheHits	23
5	6	CacheMisses	43
5	6	size	100
5	7	CacheHits	23
5	7	CacheMisses	62
5	7	size	100
5	8	CacheHits	19
5	8	CacheMisses	46
5	8	size	100
5	9	CacheHits	19
5	9	CacheMisses	11
5	9	size	77
5	10	CacheHits	17
5	10	CacheMisses	13
5	10	size	78
5	11	CacheHits	16
5	11	CacheMisses	39
5	11	size	100
5	12	CacheHits	41
5	12	CacheMisses	234
5	12	size	100
5	13	CacheHits	25
5	13	CacheMisses	103
5	13	size	100
5	14	CacheHits	19
5	14	CacheMisses	11
5	14	size	82
5	15	CacheHits	24
5	15	CacheMisses	6
5	15	size	69
5	16	CacheHits	22
5	16	CacheMisses	13
5	16	size	100
5	17	CacheHits	19
5	17	CacheMisses	42
5	17	size	100
5	18	CacheHits	23
5	18	CacheMisses	41
5	18	size	100
5	19	CacheHits	15
5	19	CacheMisses	15
5	19	size	70
5	20	CacheHits	22
5	20	CacheMisses	8
5	20	size	80
5	21	CacheHits	18
5	21	CacheMisses	21
5	21	size	100
5	22	CacheHits	19
5	22	CacheMisses	31
5	22	size	100
5	23	CacheHits	19
5	23	CacheMisses	19
5	23	size	100
5	24	CacheHits	21
5	24	CacheMisses	9
5	24	size	76
6	0	CacheHits	13
6	0	CacheMisses	17
6	0	size	74
6	1	CacheHits	17
6	1	CacheMisses	29
6	1	size	99
6	2	CacheHits	15
6	2	CacheMisses	15
6	2	size	67
6	3	CacheHits	21
6	3	CacheMisses	27
6	3	size	100
6	4	CacheHits	12
6	4	CacheMisses	18
6	4	size	64
6	5	CacheHits	16
6	5	CacheMisses	14
6	5	size	68
6	6	CacheHits	21
6	6	CacheMisses	52
6	6	size	100
6	7	CacheHits	32
6	7	CacheMisses	64
6	7	size	100
6	8	CacheHits	28
6	8	CacheMisses	42
6	8	size	100
6	9	CacheHits	17
6	9	CacheMisses	13
6	9	size	67
6	10	CacheHits	22
6	10	CacheMisses	8
6	10	size	67
6	11	CacheHits	19
6	11	CacheMisses	46
6	11	size	100
6	12	CacheHits	50
6	12	CacheMisses	221
6	12	size	100
6	13	CacheHits	37
6	13	CacheMisses	87
6	13	size	100
6	14	CacheHits	20
6	14	CacheMisses	10
6	14	size	71
6	15	CacheHits	15
6	15	CacheMisses	15
6	15	size	69
6	16	CacheHits	20
6	16	CacheMisses	26
6	16	size	100
6	17	CacheHits	20
6	17	CacheMisses	44
6	17	size	100
6	18	CacheHits	29
6	18	CacheMisses	43
6	18	size	100
6	19	CacheHits	14
6	19	CacheMisses	16
6	19	size	68
6	20	CacheHits	12
6	20	CacheMisses	18
6	20	size	72
6	21	CacheHits	20
6	21	CacheMisses	27
6	21	size	100
6	22	CacheHits	24
6	22	CacheMisses	34
6	22	size	100
6	23	CacheHits	25
6	23	CacheMisses	26
6	23	size	100
6	24	CacheHits	10
6	24	CacheMisses	20
6	24	size	74
7	0	CacheHits	20
7	0	CacheMisses	10
7	0	size	71
7	1	CacheHits	16
7	1	CacheMisses	24
7	1	size	99
7	2	CacheHits	17
7	2	CacheMisses	13
7	2	size	66
7	3	CacheHits	18
7	3	CacheMisses	30
7	3	size	100
7	4	CacheHits	12
7	4	CacheMisses	18
7	4	size	70
7	5	CacheHits	18
7	5	CacheMisses	12
7	5	size	64
7	6	CacheHits	29
7	6	CacheMisses	36
7	6	size	100
7	7	CacheHits	26
7	7	CacheMisses	54
7	7	size	100
7	8	CacheHits	27
7	8	CacheMisses	44
7	8	size	100
7	9	CacheHits	18
7	9	CacheMisses	12
7	9	size	63
7	10	CacheHits	16
7	10	CacheMisses	14
7	10	size	68
7	11	CacheHits	27
7	11	CacheMisses	35
7	11	size	100
7	12	CacheHits	28
7	12	CacheMisses	224
7	12	size	100
7	13	CacheHits	33
7	13	CacheMisses	95
7	13	size	100
7	14	CacheHits	18
7	14	CacheMisses	12
7	14	size	67
7	15	CacheHits	18
7	15	CacheMisses	12
7	15	size	62
7	16	CacheHits	24
7	16	CacheMisses	17
7	16	size	100
7	17	CacheHits	21
7	17	CacheMisses	38
7	17	size	100
7	18	CacheHits	28
7	18	CacheMisses	43
7	18	size	100
7	19	CacheHits	11
7	19	CacheMisses	19
7	19	size	71
7	20	CacheHits	17
7	20	CacheMisses	13
7	20	size	71
7	21	CacheHits	23
7	21	CacheMisses	20
7	21	size	100
7	22	CacheHits	21
7	22	CacheMisses	29
7	22	size	100
7	23	CacheHits	22
7	23	CacheMisses	22
7	23	size	100
7	24	CacheHits	16
7	24	CacheMisses	14
7	24	size	75
8	0	CacheHits	20
8	0	CacheMisses	10
8	0	size	65
8	1	CacheHits	18
8	1	CacheMisses	22
8	1	size	100
8	2	CacheHits	13
8	2	CacheMisses	17
8	2	size	70
8	3	CacheHits	20
8	3	CacheMisses	19
8	3	size	100
8	4	CacheHits	22
8	4	CacheMisses	8
8	4	size	71
8	5	CacheHits	20
8	5	CacheMisses	10
8	5	size	65
8	6	CacheHits	28
8	6	CacheMisses	35
8	6	size	100
8	7	CacheHits	25
8	7	CacheMisses	57
8	7	size	100
8	8	CacheHits	26
8	8	CacheMisses	39
8	8	size	100
8	9	CacheHits	15
8	9	CacheMisses	15
8	9	size	63
8	10	CacheHits	20
8	10	CacheMisses	10
8	10	size	64
8	11	CacheHits	22
8	11	CacheMisses	36
8	11	size	100
8	12	CacheHits	45
8	12	CacheMisses	208
8	12	size	100
8	13	CacheHits	23
8	13	CacheMisses	96
8	13	size	100
8	14	CacheHits	17
8	14	CacheMisses	13
8	14	size	65
8	15	CacheHits	19
8	15	CacheMisses	11
8	15	size	62
8	16	CacheHits	24
8	16	CacheMisses	18
8	16	size	98
8	17	CacheHits	23
8	17	CacheMisses	35
8	17	size	100
8	18	CacheHits	25
8	18	CacheMisses	37
8	18	size	100
8	19	CacheHits	16
8	19	CacheMisses	14
8	19	size	76
8	20	CacheHits	22
8	20	CacheMisses	8
8	20	size	62
8	21	CacheHits	19
8	21	CacheMisses	19
8	21	size	99
8	22	CacheHits	21
8	22	CacheMisses	28
8	22	size	99
8	23	CacheHits	20
8	23	CacheMisses	19
8	23	size	100
8	24	CacheHits	21
8	24	CacheMisses	9
8	24	size	67
9	0	CacheHits	16
9	0	CacheMisses	14
9	0	size	66
9	1	CacheHits	26
9	1	CacheMisses	19
9	1	size	100
9	2	CacheHits	14
9	2	CacheMisses	16
9	2	size	77
9	3	CacheHits	23
9	3	CacheMisses	22
9	3	size	100
9	4	CacheHits	14
9	4	CacheMisses	16
9	4	size	75
9	5	CacheHits	22
9	5	CacheMisses	8
9	5	size	59
9	6	CacheHits	30
9	6	CacheMisses	26
9	6	size	100
9	7	CacheHits	26
9	7	CacheMisses	45
9	7	size	100
9	8	CacheHits	20
9	8	CacheMisses	46
9	8	size	100
9	9	CacheHits	16
9	9	CacheMisses	14
9	9	size	68
9	10	CacheHits	23
9	10	CacheMisses	7
9	10	size	57
9	11	CacheHits	28
9	11	CacheMisses	25
9	11	size	100
9	12	CacheHits	37
9	12	CacheMisses	206
9	12	size	100
9	13	CacheHits	25
9	13	CacheMisses	102
9	13	size	100
9	14	CacheHits	20
9	14	CacheMisses	10
9	14	size	61
9	15	CacheHits	23
9	15	CacheMisses	7
9	15	size	55
9	16	CacheHits	20
9	16	CacheMisses	17
9	16	size	90
9	17	CacheHits	17
9	17	CacheMisses	41
9	17	size	100
9	18	CacheHits	22
9	18	CacheMisses	40
9	18	size	100
9	19	CacheHits	20
9	19	CacheMisses	10
9	19	size	79
9	20	CacheHits	21
9	20	CacheMisses	9
9	20	size	60
9	21	CacheHits	21
9	21	CacheMisses	18
9	21	size	99
9	22	CacheHits	18
9	22	CacheMisses	29
9	22	size	100
9	23	CacheHits	20
9	23	CacheMisses	22
9	23	size	100
9	24	CacheHits	17
9	24	CacheMisses	13
9	24	size	68
10	0	CacheHits	19
10	0	CacheMisses	11
10	0	size	66
10	1	CacheHits	16
10	1	CacheMisses	25
10	1	size	100
10	2	CacheHits	17
10	2	CacheMisses	13
10	2	size	77
10	3	CacheHits	29
10	3	CacheMisses	13
10	3	size	99
10	4	CacheHits	19
10	4	CacheMisses	11
10	4	size	76
10	5	CacheHits	23
10	5	CacheMisses	7
10	5	size	55
10	6	CacheHits	23
10	6	CacheMisses	39
10	6	size	100
10	7	CacheHits	26
10	7	CacheMisses	55
10	7	size	100
10	8	CacheHits	21
10	8	CacheMisses	38
10	8	size	100
10	9	CacheHits	15
10	9	CacheMisses	15
10	9	size	73
10	10	CacheHits	15
10	10	CacheMisses	15
10	10	size	58
10	11	CacheHits	24
10	11	CacheMisses	41
10	11	size	100
10	12	CacheHits	37
10	12	CacheMisses	219
10	12	size	100
10	13	CacheHits	21
10	13	CacheMisses	97
10	13	size	100
10	14	CacheHits	20
10	14	CacheMisses	10
10	14	size	60
10	15	CacheHits	18
10	15	CacheMisses	12
10	15	size	61
10	16	CacheHits	21
10	16	CacheMisses	20
10	16	size	99
10	17	CacheHits	24
10	17	CacheMisses	35
10	17	size	100
10	18	CacheHits	27
10	18	CacheMisses	41
10	18	size	100
10	19	CacheHits	19
10	19	CacheMisses	11
10	19	size	74
10	20	CacheHits	18
10	20	CacheMisses	12
10	20	size	64
10	21	CacheHits	17
10	21	CacheMisses	26
10	21	size	100
10	22	CacheHits	27
10	22	CacheMisses	29
10	22	size	100
10	23	CacheHits	18
10	23	CacheMisses	26
10	23	size	100
10	24	CacheHits	17
10	24	CacheMisses	13
10	24	size	74
11	0	CacheHits	15
11	0	CacheMisses	15
11	0	size	64
11	1	CacheHits	26
11	1	CacheMisses	18
11	1	size	99
11	2	CacheHits	16
11	2	CacheMisses	14
11	2	size	77
11	3	CacheHits	21
11	3	CacheMisses	27
11	3	size	100
11	4	CacheHits	11
11	4	CacheMisses	19
11	4	size	76
11	5	CacheHits	16
11	5	CacheMisses	14
11	5	size	55
11	6	CacheHits	18
11	6	CacheMisses	44
11	6	size	100
11	7	CacheHits	19
11	7	CacheMisses	65
11	7	size	100
11	8	CacheHits	19
11	8	CacheMisses	56
11	8	size	100
11	9	CacheHits	10
11	9	CacheMisses	20
11	9	size	80
11	10	CacheHits	16
11	10	CacheMisses	14
11	10	size	63
11	11	CacheHits	24
11	11	CacheMisses	47
11	11	size	100
11	12	CacheHits	48
11	12	CacheMisses	246
11	12	size	100
11	13	CacheHits	34
11	13	CacheMisses	111
11	13	size	100
11	14	CacheHits	12
11	14	CacheMisses	18
11	14	size	66
11	15	CacheHits	13
11	15	CacheMisses	17
11	15	size	62
11	16	CacheHits	19
11	16	CacheMisses	28
11	16	size	100
11	17	CacheHits	18
11	17	CacheMisses	42
11	17	size	100
11	18	CacheHits	22
11	18	CacheMisses	43
11	18	size	100
11	19	CacheHits	16
11	19	CacheMisses	14
11	19	size	71
11	20	CacheHits	15
11	20	CacheMisses	15
11	20	size	61
11	21	CacheHits	23
11	21	CacheMisses	21
11	21	size	100
11	22	CacheHits	20
11	22	CacheMisses	32
11	22	size	100
11	23	CacheHits	17
11	23	CacheMisses	23
11	23	size	100
11	24	CacheHits	19
11	24	CacheMisses	11
11	24	size	63
12	0	CacheHits	17
12	0	CacheMisses	13
12	0	size	68
12	1	CacheHits	20
12	1	CacheMisses	24
12	1	size	100
12	2	CacheHits	17
12	2	CacheMisses	13
12	2	size	77
12	3	CacheHits	21
12	3	CacheMisses	26
12	3	size	100
12	4	CacheHits	13
12	4	CacheMisses	17
12	4	size	75
12	5	CacheHits	19
12	5	CacheMisses	11
12	5	size	55
12	6	CacheHits	22
12	6	CacheMisses	43
12	6	size	100
12	7	CacheHits	32
12	7	CacheMisses	56
12	7	size	100
12	8	CacheHits	28
12	8	CacheMisses	41
12	8	size	100
12	9	CacheHits	16
12	9	CacheMisses	14
12	9	size	82
12	10	CacheHits	15
12	10	CacheMisses	15
12	10	size	65
12	11	CacheHits	27
12	11	CacheMisses	47
12	11	size	100
12	12	CacheHits	33
12	12	CacheMisses	236
12	12	size	100
12	13	CacheHits	29
12	13	CacheMisses	97
12	13	size	100
12	14	CacheHits	14
12	14	CacheMisses	16
12	14	size	71
12	15	CacheHits	11
12	15	CacheMisses	19
12	15	size	70
12	16	CacheHits	22
12	16	CacheMisses	27
12	16	size	100
12	17	CacheHits	19
12	17	CacheMisses	38
12	17	size	100
12	18	CacheHits	24
12	18	CacheMisses	39
12	18	size	100
12	19	CacheHits	15
12	19	CacheMisses	15
12	19	size	68
12	20	CacheHits	14
12	20	CacheMisses	16
12	20	size	64
12	21	CacheHits	26
12	21	CacheMisses	20
12	21	size	100
12	22	CacheHits	23
12	22	CacheMisses	27
12	22	size	100
12	23	CacheHits	27
12	23	CacheMisses	17
12	23	size	100
12	24	CacheHits	17
12	24	CacheMisses	13
12	24	size	63
13	0	CacheHits	17
13	0	CacheMisses	13
13	0	size	70
13	1	CacheHits	23
13	1	CacheMisses	19
13	1	size	100
13	2	CacheHits	19
13	2	CacheMisses	11
13	2	size	70
13	3	CacheHits	23
13	3	CacheMisses	17
13	3	size	100
13	4	CacheHits	20
13	4	CacheMisses	10
13	4	size	76
13	5	CacheHits	11
13	5	CacheMisses	19
13	5	size	62
13	6	CacheHits	27
13	6	CacheMisses	39
13	6	size	100
13	7	CacheHits	23
13	7	CacheMisses	55
13	7	size	100
13	8	CacheHits	29
13	8	CacheMisses	34
13	8	size	100
13	9	CacheHits	16
13	9	CacheMisses	14
13	9	size	82
13	10	CacheHits	19
13	10	CacheMisses	11
13	10	size	65
13	11	CacheHits	24
13	11	CacheMisses	41
13	11	size	100
13	12	CacheHits	31
13	12	CacheMisses	233
13	12	size	100
13	13	CacheHits	26
13	13	CacheMisses	97
13	13	size	100
13	14	CacheHits	22
13	14	CacheMisses	8
13	14	size	67
13	15	CacheHits	17
13	15	CacheMisses	13
13	15	size	71
13	16	CacheHits	17
13	16	CacheMisses	26
13	16	size	100
13	17	CacheHits	18
13	17	CacheMisses	41
13	17	size	100
13	18	CacheHits	23
13	18	CacheMisses	50
13	18	size	100
13	19	CacheHits	14
13	19	CacheMisses	16
13	19	size	70
13	20	CacheHits	17
13	20	CacheMisses	13
13	20	size	69
13	21	CacheHits	22
13	21	CacheMisses	21
13	21	size	100
13	22	CacheHits	23
13	22	CacheMisses	28
13	22	size	100
13	23	CacheHits	19
13	23	CacheMisses	27
13	23	size	100
13	24	CacheHits	14
13	24	CacheMisses	16
13	24	size	70
14	0	CacheHits	15
14	0	CacheMisses	15
14	0	size	70
14	1	CacheHits	21
14	1	CacheMisses	24
14	1	size	100
14	2	CacheHits	16
14	2	CacheMisses	14
14	2	size	68
14	3	CacheHits	20
14	3	CacheMisses	27
14	3	size	100
14	4	CacheHits	13
14	4	CacheMisses	17
14	4	size	78
14	5	CacheHits	20
14	5	CacheMisses	10
14	5	size	65
14	6	CacheHits	29
14	6	CacheMisses	35
14	6	size	100
14	7	CacheHits	23
14	7	CacheMisses	56
14	7	size	100
14	8	CacheHits	21
14	8	CacheMisses	49
14	8	size	100
14	9	CacheHits	17
14	9	CacheMisses	13
14	9	size	81
14	10	CacheHits	18
14	10	CacheMisses	12
14	10	size	70
14	11	CacheHits	23
14	11	CacheMisses	41
14	11	size	100
14	12	CacheHits	38
14	12	CacheMisses	235
14	12	size	100
14	13	CacheHits	21
14	13	CacheMisses	109
14	13	size	100
14	14	CacheHits	21
14	14	CacheMisses	9
14	14	size	65
14	15	CacheHits	18
14	15	CacheMisses	12
14	15	size	77
14	16	CacheHits	22
14	16	CacheMisses	21
14	16	size	100
14	17	CacheHits	18
14	17	CacheMisses	38
14	17	size	100
14	18	CacheHits	23
14	18	CacheMisses	44
14	18	size	100
14	19	CacheHits	14
14	19	CacheMisses	16
14	19	size	76
14	20	CacheHits	23
14	20	CacheMisses	7
14	20	size	67
14	21	CacheHits	21
14	21	CacheMisses	16
14	21	size	100
14	22	CacheHits	20
14	22	CacheMisses	26
14	22	size	100
14	23	CacheHits	16
14	23	CacheMisses	21
14	23	size	100
14	24	CacheHits	22
14	24	CacheMisses	8
14	24	size	65
15	0	CacheHits	14
15	0	CacheMisses	16
15	0	size	75
15	1	CacheHits	28
15	1	CacheMisses	18
15	1	size	100
15	2	CacheHits	15
15	2	CacheMisses	15
15	2	size	72
15	3	CacheHits	24
15	3	CacheMisses	14
15	3	size	100
15	4	CacheHits	22
15	4	CacheMisses	8
15	4	size	74
15	5	CacheHits	15
15	5	CacheMisses	15
