Time	Node	Type	Packets	
1	0	CacheHits	21
1	0	CacheMisses	29
1	0	size	30
1	1	CacheHits	26
1	1	CacheMisses	50
1	1	size	50
1	2	CacheHits	21
1	2	CacheMisses	29
1	2	size	29
1	3	CacheHits	28
1	3	CacheMisses	49
1	3	size	50
1	4	CacheHits	20
1	4	CacheMisses	30
1	4	size	31
1	5	CacheHits	18
1	5	CacheMisses	32
1	5	size	33
1	6	CacheHits	40
1	6	CacheMisses	85
1	6	size	86
1	7	CacheHits	48
1	7	CacheMisses	108
1	7	size	100
1	8	CacheHits	36
1	8	CacheMisses	89
1	8	size	90
1	9	CacheHits	18
1	9	CacheMisses	32
1	9	size	33
1	10	CacheHits	19
1	10	CacheMisses	31
1	10	size	32
1	11	CacheHits	42
1	11	CacheMisses	89
1	11	size	90
1	12	CacheHits	118
1	12	CacheMisses	384
1	12	size	100
1	13	CacheHits	64
1	13	CacheMisses	176
1	13	size	100
1	14	CacheHits	17
1	14	CacheMisses	33
1	14	size	34
1	15	CacheHits	20
1	15	CacheMisses	30
1	15	size	31
1	16	CacheHits	20
1	16	CacheMisses	57
1	16	size	58
1	17	CacheHits	27
1	17	CacheMisses	95
1	17	size	95
1	18	CacheHits	40
1	18	CacheMisses	79
1	18	size	80
1	19	CacheHits	21
1	19	CacheMisses	29
1	19	size	29
1	20	CacheHits	12
1	20	CacheMisses	38
1	20	size	39
1	21	CacheHits	26
1	21	CacheMisses	59
1	21	size	59
1	22	CacheHits	29
1	22	CacheMisses	76
1	22	size	76
1	23	CacheHits	28
1	23	CacheMisses	51
1	23	size	51
1	24	CacheHits	18
1	24	CacheMisses	32
1	24	size	33
2	0	CacheHits	22
2	0	CacheMisses	23
2	0	size	52
2	1	CacheHits	33
2	1	CacheMisses	34
2	1	size	85
2	2	CacheHits	27
2	2	CacheMisses	18
2	2	size	48
2	3	CacheHits	29
2	3	CacheMisses	30
2	3	size	80
2	4	CacheHits	31
2	4	CacheMisses	14
2	4	size	45
2	5	CacheHits	29
2	5	CacheMisses	16
2	5	size	49
2	6	CacheHits	42
2	6	CacheMisses	54
2	6	size	100
2	7	CacheHits	40
2	7	CacheMisses	78
2	7	size	100
2	8	CacheHits	39
2	8	CacheMisses	59
2	8	size	100
2	9	CacheHits	21
2	9	CacheMisses	24
2	9	size	57
2	10	CacheHits	25
2	10	CacheMisses	20
2	10	size	51
2	11	CacheHits	44
2	11	CacheMisses	53
2	11	size	100
2	12	CacheHits	62
2	12	CacheMisses	330
2	12	size	100
2	13	CacheHits	40
2	13	CacheMisses	156
2	13	size	100
2	14	CacheHits	23
2	14	CacheMisses	22
2	14	size	56
2	15	CacheHits	26
2	15	CacheMisses	19
2	15	size	50
2	16	CacheHits	30
2	16	CacheMisses	34
2	16	size	91
2	17	CacheHits	28
2	17	CacheMisses	59
2	17	size	100
2	18	CacheHits	38
2	18	CacheMisses	70
2	18	size	100
2	19	CacheHits	29
2	19	CacheMisses	16
2	19	size	46
2	20	CacheHits	23
2	20	CacheMisses	22
2	20	size	60
2	21	CacheHits	34
2	21	CacheMisses	32
2	21	size	91
2	22	CacheHits	36
2	22	CacheMisses	41
2	22	size	100
2	23	CacheHits	23
2	23	CacheMisses	46
2	23	size	97
2	24	CacheHits	21
2	24	CacheMisses	24
2	24	size	57
3	0	CacheHits	25
3	0	CacheMisses	20
3	0	size	73
3	1	CacheHits	30
3	1	CacheMisses	36
3	1	size	100
3	2	CacheHits	31
3	2	CacheMisses	14
3	2	size	62
3	3	CacheHits	33
3	3	CacheMisses	26
3	3	size	100
3	4	CacheHits	31
3	4	CacheMisses	14
3	4	size	59
3	5	CacheHits	25
3	5	CacheMisses	20
3	5	size	69
3	6	CacheHits	40
3	6	CacheMisses	60
3	6	size	100
3	7	CacheHits	33
3	7	CacheMisses	85
3	7	size	100
3	8	CacheHits	30
3	8	CacheMisses	54
3	8	size	100
3	9	CacheHits	31
3	9	CacheMisses	14
3	9	size	71
3	10	CacheHits	24
3	10	CacheMisses	21
3	10	size	73
3	11	CacheHits	37
3	11	CacheMisses	62
3	11	size	100
3	12	CacheHits	61
3	12	CacheMisses	326
3	12	size	100
3	13	CacheHits	35
3	13	CacheMisses	135
3	13	size	100
3	14	CacheHits	25
3	14	CacheMisses	20
3	14	size	76
3	15	CacheHits	28
3	15	CacheMisses	17
3	15	size	67
3	16	CacheHits	31
3	16	CacheMisses	31
3	16	size	100
3	17	CacheHits	31
3	17	CacheMisses	61
3	17	size	100
3	18	CacheHits	39
3	18	CacheMisses	52
3	18	size	100
3	19	CacheHits	29
3	19	CacheMisses	16
3	19	size	62
3	20	CacheHits	27
3	20	CacheMisses	18
3	20	size	79
3	21	CacheHits	31
3	21	CacheMisses	33
3	21	size	100
3	22	CacheHits	31
3	22	CacheMisses	47
3	22	size	100
3	23	CacheHits	32
3	23	CacheMisses	29
3	23	size	100
3	24	CacheHits	29
3	24	CacheMisses	16
3	24	size	73
4	0	CacheHits	29
4	0	CacheMisses	16
4	0	size	88
4	1	CacheHits	24
4	1	CacheMisses	36
4	1	size	100
4	2	CacheHits	27
4	2	CacheMisses	18
4	2	size	79
4	3	CacheHits	30
4	3	CacheMisses	36
4	3	size	100
4	4	CacheHits	23
4	4	CacheMisses	22
4	4	size	80
4	5	CacheHits	30
4	5	CacheMisses	15
4	5	size	84
4	6	CacheHits	29
4	6	CacheMisses	68
4	6	size	100
4	7	CacheHits	36
4	7	CacheMisses	95
4	7	size	100
4	8	CacheHits	35
4	8	CacheMisses	61
4	8	size	100
4	9	CacheHits	30
4	9	CacheMisses	15
4	9	size	85
4	10	CacheHits	33
4	10	CacheMisses	12
4	10	size	85
4	11	CacheHits	24
4	11	CacheMisses	60
4	11	size	100
4	12	CacheHits	62
4	12	CacheMisses	336
4	12	size	100
4	13	CacheHits	40
4	13	CacheMisses	136
4	13	size	100
4	14	CacheHits	34
4	14	CacheMisses	11
4	14	size	87
4	15	CacheHits	29
4	15	CacheMisses	16
4	15	size	83
4	16	CacheHits	33
4	16	CacheMisses	28
4	16	size	100
4	17	CacheHits	27
4	17	CacheMisses	60
4	17	size	100
4	18	CacheHits	33
4	18	CacheMisses	59
4	18	size	100
4	19	CacheHits	25
4	19	CacheMisses	20
4	19	size	82
4	20	CacheHits	30
4	20	CacheMisses	15
4	20	size	93
4	21	CacheHits	30
4	21	CacheMisses	29
4	21	size	100
4	22	CacheHits	33
4	22	CacheMisses	42
4	22	size	100
4	23	CacheHits	35
4	23	CacheMisses	28
4	23	size	100
4	24	CacheHits	27
4	24	CacheMisses	18
4	24	size	91
5	0	CacheHits	32
5	0	CacheMisses	13
5	0	size	100
5	1	CacheHits	29
5	1	CacheMisses	29
5	1	size	100
