Time	Node	Type	Packets	
1	0	CacheHits	16
1	0	CacheMisses	24
1	0	size	30
1	1	CacheHits	17
1	1	CacheMisses	43
1	1	size	49
1	2	CacheHits	16
1	2	CacheMisses	24
1	2	size	30
1	3	CacheHits	20
1	3	CacheMisses	44
1	3	size	51
1	4	CacheHits	13
1	4	CacheMisses	27
1	4	size	34
1	5	CacheHits	14
1	5	CacheMisses	26
1	5	size	32
1	6	CacheHits	29
1	6	CacheMisses	72
1	6	size	79
1	7	CacheHits	39
1	7	CacheMisses	90
1	7	size	96
1	8	CacheHits	25
1	8	CacheMisses	81
1	8	size	87
1	9	CacheHits	12
1	9	CacheMisses	28
1	9	size	35
1	10	CacheHits	15
1	10	CacheMisses	25
1	10	size	32
1	11	CacheHits	28
1	11	CacheMisses	72
1	11	size	78
1	12	CacheHits	99
1	12	CacheMisses	315
1	12	size	100
1	13	CacheHits	52
1	13	CacheMisses	156
1	13	size	100
1	14	CacheHits	11
1	14	CacheMisses	29
1	14	size	35
1	15	CacheHits	17
1	15	CacheMisses	23
1	15	size	29
1	16	CacheHits	17
1	16	CacheMisses	42
1	16	size	48
1	17	CacheHits	20
1	17	CacheMisses	73
1	17	size	80
1	18	CacheHits	31
1	18	CacheMisses	72
1	18	size	76
1	19	CacheHits	15
1	19	CacheMisses	25
1	19	size	31
1	20	CacheHits	9
1	20	CacheMisses	31
1	20	size	37
1	21	CacheHits	21
1	21	CacheMisses	46
1	21	size	52
1	22	CacheHits	26
1	22	CacheMisses	56
1	22	size	63
1	23	CacheHits	19
1	23	CacheMisses	46
1	23	size	52
1	24	CacheHits	12
1	24	CacheMisses	28
1	24	size	35
2	0	CacheHits	17
2	0	CacheMisses	18
2	0	size	49
2	1	CacheHits	25
2	1	CacheMisses	29
2	1	size	79
2	2	CacheHits	21
2	2	CacheMisses	14
2	2	size	44
2	3	CacheHits	22
2	3	CacheMisses	24
2	3	size	74
2	4	CacheHits	23
2	4	CacheMisses	12
2	4	size	45
2	5	CacheHits	19
2	5	CacheMisses	16
2	5	size	49
2	6	CacheHits	36
2	6	CacheMisses	46
2	6	size	100
2	7	CacheHits	32
2	7	CacheMisses	62
2	7	size	100
2	8	CacheHits	31
2	8	CacheMisses	44
2	8	size	100
2	9	CacheHits	18
2	9	CacheMisses	17
2	9	size	52
2	10	CacheHits	19
2	10	CacheMisses	16
2	10	size	48
2	11	CacheHits	41
2	11	CacheMisses	47
2	11	size	100
2	12	CacheHits	47
2	12	CacheMisses	259
2	12	size	100
2	13	CacheHits	32
2	13	CacheMisses	107
2	13	size	100
2	14	CacheHits	17
2	14	CacheMisses	18
2	14	size	53
2	15	CacheHits	16
2	15	CacheMisses	19
2	15	size	49
2	16	CacheHits	19
2	16	CacheMisses	36
2	16	size	85
2	17	CacheHits	21
2	17	CacheMisses	55
2	17	size	100
2	18	CacheHits	35
2	18	CacheMisses	43
2	18	size	100
2	19	CacheHits	22
2	19	CacheMisses	13
2	19	size	45
2	20	CacheHits	18
2	20	CacheMisses	17
2	20	size	55
2	21	CacheHits	26
2	21	CacheMisses	27
2	21	size	79
2	22	CacheHits	20
2	22	CacheMisses	42
2	22	size	100
2	23	CacheHits	21
2	23	CacheMisses	29
2	23	size	81
2	24	CacheHits	19
2	24	CacheMisses	16
2	24	size	50
3	0	CacheHits	17
3	0	CacheMisses	18
3	0	size	66
3	1	CacheHits	26
3	1	CacheMisses	26
3	1	size	100
3	2	CacheHits	20
3	2	CacheMisses	15
3	2	size	60
3	3	CacheHits	28
3	3	CacheMisses	18
3	3	size	93
3	4	CacheHits	25
3	4	CacheMisses	10
3	4	size	56
3	5	CacheHits	21
3	5	CacheMisses	14
3	5	size	63
3	6	CacheHits	31
3	6	CacheMisses	43
3	6	size	100
3	7	CacheHits	26
3	7	CacheMisses	70
3	7	size	100
3	8	CacheHits	31
3	8	CacheMisses	39
3	8	size	100
3	9	CacheHits	18
3	9	CacheMisses	17
3	9	size	68
3	10	CacheHits	19
3	10	CacheMisses	16
3	10	size	64
3	11	CacheHits	28
3	11	CacheMisses	45
3	11	size	100
3	12	CacheHits	54
3	12	CacheMisses	260
3	12	size	100
3	13	CacheHits	29
3	13	CacheMisses	117
3	13	size	100
3	14	CacheHits	18
3	14	CacheMisses	17
3	14	size	71
3	15	CacheHits	22
3	15	CacheMisses	13
3	15	size	62
3	16	CacheHits	25
3	16	CacheMisses	23
3	16	size	100
3	17	CacheHits	25
3	17	CacheMisses	45
3	17	size	100
3	18	CacheHits	24
3	18	CacheMisses	53
3	18	size	100
3	19	CacheHits	23
3	19	CacheMisses	12
3	19	size	56
3	20	CacheHits	18
3	20	CacheMisses	17
3	20	size	71
3	21	CacheHits	22
3	21	CacheMisses	29
3	21	size	100
3	22	CacheHits	30
3	22	CacheMisses	35
3	22	size	100
3	23	CacheHits	22
3	23	CacheMisses	31
3	23	size	100
3	24	CacheHits	18
3	24	CacheMisses	17
3	24	size	68
4	0	CacheHits	21
4	0	CacheMisses	14
4	0	size	81
4	1	CacheHits	23
4	1	CacheMisses	27
4	1	size	100
4	2	CacheHits	24
4	2	CacheMisses	11
4	2	size	70
4	3	CacheHits	23
4	3	CacheMisses	23
4	3	size	100
4	4	CacheHits	24
4	4	CacheMisses	11
4	4	size	67
4	5	CacheHits	21
4	5	CacheMisses	14
4	5	size	76
4	6	CacheHits	26
4	6	CacheMisses	50
4	6	size	100
4	7	CacheHits	29
4	7	CacheMisses	65
4	7	size	100
4	8	CacheHits	20
4	8	CacheMisses	49
4	8	size	100
4	9	CacheHits	24
4	9	CacheMisses	11
4	9	size	80
4	10	CacheHits	18
4	10	CacheMisses	17
4	10	size	80
4	11	CacheHits	20
4	11	CacheMisses	54
4	11	size	100
4	12	CacheHits	43
4	12	CacheMisses	277
4	12	size	100
4	13	CacheHits	27
4	13	CacheMisses	116
4	13	size	100
4	14	CacheHits	22
4	14	CacheMisses	13
4	14	size	84
4	15	CacheHits	24
4	15	CacheMisses	11
4	15	size	73
4	16	CacheHits	24
4	16	CacheMisses	22
4	16	size	100
4	17	CacheHits	22
4	17	CacheMisses	49
4	17	size	100
4	18	CacheHits	26
4	18	CacheMisses	47
4	18	size	100
4	19	CacheHits	21
4	19	CacheMisses	14
4	19	size	70
4	20	CacheHits	22
4	20	CacheMisses	13
4	20	size	85
4	21	CacheHits	25
4	21	CacheMisses	24
4	21	size	100
4	22	CacheHits	23
4	22	CacheMisses	35
4	22	size	100
4	23	CacheHits	23
4	23	CacheMisses	23
4	23	size	100
4	24	CacheHits	24
4	24	CacheMisses	11
4	24	size	79
5	0	CacheHits	23
5	0	CacheMisses	12
5	0	size	93
5	1	CacheHits	18
5	1	CacheMisses	29
5	1	size	100
5	2	CacheHits	23
5	2	CacheMisses	12
5	2	size	83
5	3	CacheHits	22
5	3	CacheMisses	31
5	3	size	100
5	4	CacheHits	17
5	4	CacheMisses	18
5	4	size	84
5	5	CacheHits	24
5	5	CacheMisses	11
5	5	size	87
5	6	CacheHits	17
5	6	CacheMisses	57
5	6	size	100
5	7	CacheHits	20
5	7	CacheMisses	86
5	7	size	100
5	8	CacheHits	28
5	8	CacheMisses	49
5	8	size	100
5	9	CacheHits	25
5	9	CacheMisses	10
