1	10	243.166666667
1	20	229.1
1	30	224.133333333
1	40	220.366666667
1	50	218.933333333
1	60	218.65
1	70	218.566666667
1	80	220.833333333
1	90	222.883333333
1	100	225.183333333
1	150	239.133333333
1	200	256.233333333
2	20	224.1
2	50	206.433333333
2	60	203.65
2	70	201.183333333
2	80	201.116666667
2	90	200.716666667
2	100	200.85
2	110	200.316666667
2	120	200.733333333
2	130	201.233333333
2	140	202.066666667
2	150	202.216666667
2	200	206.3
2	250	213.033333333
2	300	220.016666667
3	50	202.266666667
3	75	195.1
3	100	192.333333333
3	125	190.6
3	150	189.333333333
3	175	188.75
3	200	189.383333333
3	225	190.416666667
3	250	191.766666667
3	275	193.516666667
3	300	194.916666667
4	50	199.766666667
4	100	187.25
4	150	182.366666667
4	200	179.516666667
4	250	179.433333333
4	300	179.95
4	350	181.616666667
4	400	183.933333333
4	450	187.033333333
4	500	190.266666667
5	50	198.933333333
5	100	185.8
5	200	176.033333333
5	300	174.983333333
5	400	176.7
5	500	181.65
5	600	188.133333333
5	700	194.616666667
5	800	201.466666667
5	900	209.05
5	1000	215.483333333
7.5	50	197.266666667
7.5	100	182.583333333
7.5	200	169.366666667
7.5	300	165.05
7.5	400	163.55
7.5	500	164.883333333
7.5	600	167.866666667
7.5	700	171
7.5	800	174.8
7.5	900	178.683333333
7.5	1000	182.483333333
7.5	1100	185.566666667
7.5	1200	188.533333333
7.5	1300	191.15
7.5	1400	192.766666667
7.5	1500	194.933333333
10	50	196.433333333
10	100	180.833333333
10	200	166.133333333
10	300	159.95
10	400	156.666666667
10	500	156.25
10	600	157.65
10	700	159.083333333
10	800	161.05
10	900	163.316666667
10	1000	164.833333333
10	1100	164.733333333
10	1200	164.466666667
10	1300	164.333333333
10	1400	164.466666667
10	1500	164.766666667
15	50	195.6
15	100	179.183333333
15	200	162.7
15	300	155.05
15	400	150.3
15	500	147.9
15	600	147.6
15	700	147.35
15	800	147.716666667
15	900	148.333333333
15	1000	148.766666667
15	1100	148.333333333
15	1200	148.016666667
15	1300	147.2
15	1400	145.4
15	1500	144.016666667
20	50	194.766666667
20	100	177.466666667
20	200	159.45
20	300	150.183333333
20	400	143.716666667
20	500	139.8
20	600	137.666666667
20	700	135.616666667
20	800	134.233333333
20	900	133.166666667
20	1000	131.9
20	1100	129.783333333
20	1200	127.983333333
20	1300	126.366666667
20	1400	124.65
20	1500	123.316666667
