5	5	500	53.3	76.55	21.2166666667
10	5	500	105.233333333	114.783333333	39.3833333333
15	5	500	158.983333333	148.916666667	58.4166666667
20	5	500	211.983333333	181.65	76.6333333333
25	5	500	265.166666667	216.15	96.1833333333
30	5	500	318.2	252.05	115.45
35	5	500	371.083333333	286.166666667	133.733333333
40	5	500	424.083333333	320.216666667	152.416666667
45	5	500	477.466666667	354.383333333	171.683333333
50	5	500	530.8	390.066666667	190.916666667
