Time	Node	Type	Packets	
9	rtr1-2	CacheHits	0
9	rtr1-2	CacheMisses	35
9	rtr1-2	size	8
9	user1-1	CacheHits	32
9	user1-1	CacheMisses	18
9	user1-1	size	100
9	rtr2-1	CacheHits	0
9	rtr2-1	CacheMisses	27
9	rtr2-1	size	8
9	user1-2	CacheHits	36
9	user1-2	CacheMisses	14
9	user1-2	size	100
9	user1-3	CacheHits	29
9	user1-3	CacheMisses	21
9	user1-3	size	100
9	user2-1	CacheHits	38
9	user2-1	CacheMisses	12
9	user2-1	size	100
9	user2-2	CacheHits	35
9	user2-2	CacheMisses	15
9	user2-2	size	100
10	root	CacheHits	0
10	root	CacheMisses	96
10	root	size	8
10	rtr1-1	CacheHits	0
10	rtr1-1	CacheMisses	55
10	rtr1-1	size	8
10	rtr1-2	CacheHits	0
10	rtr1-2	CacheMisses	41
10	rtr1-2	size	8
10	user1-1	CacheHits	32
10	user1-1	CacheMisses	18
10	user1-1	size	100
10	rtr2-1	CacheHits	0
10	rtr2-1	CacheMisses	37
10	rtr2-1	size	8
10	user1-2	CacheHits	28
10	user1-2	CacheMisses	22
10	user1-2	size	100
10	user1-3	CacheHits	31
10	user1-3	CacheMisses	19
10	user1-3	size	100
10	user2-1	CacheHits	33
10	user2-1	CacheMisses	17
10	user2-1	size	100
10	user2-2	CacheHits	30
10	user2-2	CacheMisses	20
10	user2-2	size	100
11	root	CacheHits	0
11	root	CacheMisses	86
11	root	size	8
11	rtr1-1	CacheHits	0
11	rtr1-1	CacheMisses	52
11	rtr1-1	size	8
11	rtr1-2	CacheHits	0
11	rtr1-2	CacheMisses	34
11	rtr1-2	size	8
11	user1-1	CacheHits	31
11	user1-1	CacheMisses	19
11	user1-1	size	100
11	rtr2-1	CacheHits	0
11	rtr2-1	CacheMisses	33
11	rtr2-1	size	8
11	user1-2	CacheHits	34
11	user1-2	CacheMisses	16
11	user1-2	size	100
11	user1-3	CacheHits	32
11	user1-3	CacheMisses	18
11	user1-3	size	100
11	user2-1	CacheHits	34
11	user2-1	CacheMisses	16
11	user2-1	size	100
11	user2-2	CacheHits	33
11	user2-2	CacheMisses	17
11	user2-2	size	100
12	root	CacheHits	0
12	root	CacheMisses	98
12	root	size	8
12	rtr1-1	CacheHits	0
12	rtr1-1	CacheMisses	63
12	rtr1-1	size	8
12	rtr1-2	CacheHits	0
12	rtr1-2	CacheMisses	35
12	rtr1-2	size	8
12	user1-1	CacheHits	30
12	user1-1	CacheMisses	20
12	user1-1	size	100
12	rtr2-1	CacheHits	0
12	rtr2-1	CacheMisses	42
12	rtr2-1	size	8
12	user1-2	CacheHits	37
12	user1-2	CacheMisses	13
12	user1-2	size	100
12	user1-3	CacheHits	31
12	user1-3	CacheMisses	19
12	user1-3	size	100
12	user2-1	CacheHits	36
12	user2-1	CacheMisses	14
12	user2-1	size	100
12	user2-2	CacheHits	24
12	user2-2	CacheMisses	26
12	user2-2	size	100
13	root	CacheHits	0
13	root	CacheMisses	95
13	root	size	8
13	rtr1-1	CacheHits	0
13	rtr1-1	CacheMisses	50
13	rtr1-1	size	8
13	rtr1-2	CacheHits	0
13	rtr1-2	CacheMisses	45
13	rtr1-2	size	8
13	user1-1	CacheHits	39
13	user1-1	CacheMisses	11
13	user1-1	size	100
13	rtr2-1	CacheHits	0
13	rtr2-1	CacheMisses	33
13	rtr2-1	size	8
13	user1-2	CacheHits	28
13	user1-2	CacheMisses	22
13	user1-2	size	100
13	user1-3	CacheHits	29
13	user1-3	CacheMisses	21
13	user1-3	size	100
13	user2-1	CacheHits	35
13	user2-1	CacheMisses	15
13	user2-1	size	100
13	user2-2	CacheHits	33
13	user2-2	CacheMisses	17
13	user2-2	size	100
14	root	CacheHits	0
14	root	CacheMisses	92
14	root	size	8
14	rtr1-1	CacheHits	0
14	rtr1-1	CacheMisses	52
14	rtr1-1	size	8
14	rtr1-2	CacheHits	0
14	rtr1-2	CacheMisses	40
14	rtr1-2	size	8
14	user1-1	CacheHits	30
14	user1-1	CacheMisses	20
14	user1-1	size	100
14	rtr2-1	CacheHits	0
14	rtr2-1	CacheMisses	31
14	rtr2-1	size	8
14	user1-2	CacheHits	30
14	user1-2	CacheMisses	20
14	user1-2	size	100
14	user1-3	CacheHits	33
14	user1-3	CacheMisses	17
14	user1-3	size	100
14	user2-1	CacheHits	38
14	user2-1	CacheMisses	12
14	user2-1	size	100
14	user2-2	CacheHits	32
14	user2-2	CacheMisses	18
14	user2-2	size	100
15	root	CacheHits	0
15	root	CacheMisses	106
15	root	size	8
15	rtr1-1	CacheHits	0
15	rtr1-1	CacheMisses	61
15	rtr1-1	size	8
15	rtr1-2	CacheHits	0
15	rtr1-2	CacheMisses	45
15	rtr1-2	size	8
15	user1-1	CacheHits	32
15	user1-1	CacheMisses	18
15	user1-1	size	100
15	rtr2-1	CacheHits	0
15	rtr2-1	CacheMisses	39
15	rtr2-1	size	8
15	user1-2	CacheHits	26
15	user1-2	CacheMisses	24
15	user1-2	size	100
15	user1-3	CacheHits	33
15	user1-3	CacheMisses	17
15	user1-3	size	100
15	user2-1	CacheHits	31
15	user2-1	CacheMisses	19
15	user2-1	size	100
15	user2-2	CacheHits	31
15	user2-2	CacheMisses	19
15	user2-2	size	100
16	root	CacheHits	0
16	root	CacheMisses	103
16	root	size	8
16	rtr1-1	CacheHits	0
16	rtr1-1	CacheMisses	60
16	rtr1-1	size	8
16	rtr1-2	CacheHits	0
16	rtr1-2	CacheMisses	43
16	rtr1-2	size	8
16	user1-1	CacheHits	30
16	user1-1	CacheMisses	20
16	user1-1	size	100
16	rtr2-1	CacheHits	0
16	rtr2-1	CacheMisses	39
16	rtr2-1	size	8
16	user1-2	CacheHits	32
16	user1-2	CacheMisses	18
16	user1-2	size	100
16	user1-3	CacheHits	31
16	user1-3	CacheMisses	19
16	user1-3	size	100
