Time	Node	Type	Packets	
1	root	CacheHits	2
1	root	CacheMisses	716
1	root	size	8
1	rtr1-1	CacheHits	2
1	rtr1-1	CacheMisses	424
1	rtr1-1	size	8
1	rtr1-2	CacheHits	2
1	rtr1-2	CacheMisses	296
1	rtr1-2	size	8
1	user1-1	CacheHits	212
1	user1-1	CacheMisses	143
1	user1-1	size	100
1	rtr2-1	CacheHits	3
1	rtr2-1	CacheMisses	284
1	rtr2-1	size	9
1	user1-2	CacheHits	202
1	user1-2	CacheMisses	153
1	user1-2	size	100
1	user1-3	CacheHits	208
1	user1-3	CacheMisses	147
1	user1-3	size	100
1	user2-1	CacheHits	216
1	user2-1	CacheMisses	139
1	user2-1	size	100
1	user2-2	CacheHits	206
1	user2-2	CacheMisses	149
1	user2-2	size	100
2	root	CacheHits	0
2	root	CacheMisses	603
2	root	size	8
2	rtr1-1	CacheHits	0
2	rtr1-1	CacheMisses	358
2	rtr1-1	size	8
2	rtr1-2	CacheHits	0
2	rtr1-2	CacheMisses	245
2	rtr1-2	size	8
2	user1-1	CacheHits	228
2	user1-1	CacheMisses	122
2	user1-1	size	100
2	rtr2-1	CacheHits	0
2	rtr2-1	CacheMisses	236
2	rtr2-1	size	9
2	user1-2	CacheHits	235
2	user1-2	CacheMisses	115
2	user1-2	size	100
2	user1-3	CacheHits	221
2	user1-3	CacheMisses	129
2	user1-3	size	100
2	user2-1	CacheHits	245
2	user2-1	CacheMisses	105
2	user2-1	size	100
2	user2-2	CacheHits	222
2	user2-2	CacheMisses	128
2	user2-2	size	100
3	root	CacheHits	0
3	root	CacheMisses	707
3	root	size	8
3	rtr1-1	CacheHits	0
3	rtr1-1	CacheMisses	414
3	rtr1-1	size	8
3	rtr1-2	CacheHits	0
3	rtr1-2	CacheMisses	293
3	rtr1-2	size	8
3	user1-1	CacheHits	226
3	user1-1	CacheMisses	124
3	user1-1	size	100
3	rtr2-1	CacheHits	0
3	rtr2-1	CacheMisses	272
3	rtr2-1	size	9
3	user1-2	CacheHits	206
3	user1-2	CacheMisses	144
3	user1-2	size	100
3	user1-3	CacheHits	221
3	user1-3	CacheMisses	129
3	user1-3	size	100
3	user2-1	CacheHits	237
3	user2-1	CacheMisses	113
3	user2-1	size	100
3	user2-2	CacheHits	216
3	user2-2	CacheMisses	134
3	user2-2	size	100
4	root	CacheHits	0
4	root	CacheMisses	700
4	root	size	8
4	rtr1-1	CacheHits	0
4	rtr1-1	CacheMisses	421
4	rtr1-1	size	8
4	rtr1-2	CacheHits	0
4	rtr1-2	CacheMisses	279
4	rtr1-2	size	8
4	user1-1	CacheHits	214
4	user1-1	CacheMisses	136
4	user1-1	size	100
4	rtr2-1	CacheHits	0
