0.15269	0.14723	0.14444	0.14348	0.14371	0.14228	0.14187	0.14137	0.14201	0.14167	0.14145	0.1414
0.21328	0.21436	0.21315	0.21461	0.21423	0.21312	0.21355	0.21349	0.21384	0.21316	0.21237	0.21398
0.22051	0.29395	0.32502	0.33948	0.34651	0.35292	0.35751	0.36107	0.36199	0.36525	0.36576	0.36779
0.21929	0.29456	0.31819	0.33581	0.34376	0.35017	0.35353	0.35557	0.35883	0.36026	0.36229	0.3626
0.21848	0.29436	0.32145	0.33785	0.34518	0.35119	0.35608	0.35802	0.36331	0.36219	0.36413	0.36545
0.18199	0.18354	0.18328	0.1831	0.18287	0.18326	0.18357	0.18416	0.18402	0.1832	0.18377	0.18429
0.2082	0.23311	0.24226	0.24582	0.24675	0.24771	0.2492	0.25066	0.25091	0.25104	0.25227	0.25267
0.21542	0.28967	0.31717	0.33031	0.33826	0.34467	0.34926	0.34915	0.35486	0.35404	0.35679	0.35618
0.20931	0.28692	0.31361	0.3296	0.33836	0.3463	0.34844	0.35272	0.35343	0.35628	0.35608	0.35781
0.20988	0.23381	0.24042	0.24437	0.24633	0.24912	0.24858	0.24985	0.252	0.25287	0.25197	0.25385
0.16968	0.18409	0.18983	0.19293	0.19492	0.19634	0.19699	0.197	0.19745	0.19766	0.19834	0.19778
